Din      	Mode DataOut   Addr WE
00000203	0	00000000	000	1
00000607	0	00000000	004	1
00000a0b	0	00000000	008	1
00000e0f	0	00000000	00c	1
00000000	0	00000000	010	1
00000000	0	00000000	014	1
00000000	0	00000000	018	1
00000000	0	00000000	01c	1
20212223	0	00000000	020	1
24252627	0	00000000	024	1
28292a2b	0	00000000	028	1
2c2d2e2f	0	00000000	02c	1
30310000	0	00000000	030	1
34350000	0	00000000	034	1
38390000	0	00000000	038	1
3c3d0000	0	00000000	03c	1
00000001	2	00000000	002	1
00000405	2	00000000	006	1
00000809	2	00000000	00a	1
00000c0d	2	00000000	00e	1
00003233	2	00000000	031	1
00003637	2	00000000	035	1
00003a3b	2	00000000	039	1
00003e3f	2	00000000	03d	1
00000010	1	00000000	013	1
00000014	1	00000000	017	1
00000018	1	00000000	01b	1
0000001c	1	00000000	01f	1
00000011	1	00000000	012	1
00000015	1	00000000	016	1
00000019	1	00000000	01a	1
0000001d	1	00000000	01e	1
00000012	1	00000000	011	1
00000016	1	00000000	015	1
0000001a	1	00000000	019	1
0000001e	1	00000000	01d	1
00000013	1	00000000	010	1
00000017	1	00000000	014	1
0000001b	1	00000000	018	1
0000001f	1	00000000	01c	1
00000000	0	00010203	000	0
00000000	0	04050607	004	0
00000000	0	08090a0b	008	0
00000000	0	0c0d0e0f	00c	0
00000000	0	10111213	010	0
00000000	0	14151617	014	0
00000000	0	18191a1b	018	0
00000000	0	1c1d1e1f	01c	0
00000000	0	20212223	020	0
00000000	0	24252627	024	0
00000000	0	28292a2b	028	0
00000000	0	2c2d2e2f	02c	0
00000000	0	30313233	030	0
00000000	0	34353637	034	0
00000000	0	38393a3b	038	0
00000000	0	3c3d3e3f	03c	0
00000000	2	00000203	000	0
00000000	2	00000001	002	0
00000000	2	00000607	004	0
00000000	2	00000405	006	0
00000000	2	00000a0b	008	0
00000000	2	00000809	00a	0
00000000	2	00000e0f	00c	0
00000000	2	00000c0d	00e	0
00000000	2	00001213	010	0
00000000	2	00001011	012	0
00000000	2	00001617	014	0
00000000	2	00001415	016	0
00000000	2	00001a1b	018	0
00000000	2	00001819	01a	0
00000000	2	00001e1f	01c	0
00000000	2	00001c1d	01e	0
00000000	2	00002223	020	0
00000000	2	00002021	022	0
00000000	2	00002627	024	0
00000000	2	00002425	026	0
00000000	2	00002a2b	028	0
00000000	2	00002829	02a	0
00000000	2	00002e2f	02c	0
00000000	2	00002c2d	02e	0
00000000	2	00003233	030	0
00000000	2	00003031	032	0
00000000	2	00003637	034	0
00000000	2	00003435	036	0
00000000	2	00003a3b	038	0
00000000	2	00003839	03a	0
00000000	2	00003e3f	03c	0
00000000	2	00003c3d	03e	0
00000000	1	00000003	000	0
00000000	1	00000002	001	0
00000000	1	00000001	002	0
00000000	1	00000000	003	0
00000000	1	00000007	004	0
00000000	1	00000006	005	0
00000000	1	00000005	006	0
00000000	1	00000004	007	0
00000000	1	0000000b	008	0
00000000	1	0000000a	009	0
00000000	1	00000009	00a	0
00000000	1	00000008	00b	0
00000000	1	0000000f	00c	0
00000000	1	0000000e	00d	0
00000000	1	0000000d	00e	0
00000000	1	0000000c	00f	0
00000000	1	00000013	010	0
00000000	1	00000012	011	0
00000000	1	00000011	012	0
00000000	1	00000010	013	0
00000000	1	00000017	014	0
00000000	1	00000016	015	0
00000000	1	00000015	016	0
00000000	1	00000014	017	0
00000000	1	0000001b	018	0
00000000	1	0000001a	019	0
00000000	1	00000019	01a	0
00000000	1	00000018	01b	0
00000000	1	0000001f	01c	0
00000000	1	0000001e	01d	0
00000000	1	0000001d	01e	0
00000000	1	0000001c	01f	0
00000000	1	00000023	020	0
00000000	1	00000022	021	0
00000000	1	00000021	022	0
00000000	1	00000020	023	0
00000000	1	00000027	024	0
00000000	1	00000026	025	0
00000000	1	00000025	026	0
00000000	1	00000024	027	0
00000000	1	0000002b	028	0
00000000	1	0000002a	029	0
00000000	1	00000029	02a	0
00000000	1	00000028	02b	0
00000000	1	0000002f	02c	0
00000000	1	0000002e	02d	0
00000000	1	0000002d	02e	0
00000000	1	0000002c	02f	0
00000000	1	00000033	030	0
00000000	1	00000032	031	0
00000000	1	00000031	032	0
00000000	1	00000030	033	0
00000000	1	00000037	034	0
00000000	1	00000036	035	0
00000000	1	00000035	036	0
00000000	1	00000034	037	0
00000000	1	0000003b	038	0
00000000	1	0000003a	039	0
00000000	1	00000039	03a	0
00000000	1	00000038	03b	0
00000000	1	0000003f	03c	0
00000000	1	0000003e	03d	0
00000000	1	0000003d	03e	0
00000000	1	0000003c	03f	0
